Sorter0,
ArrayLength,Runtime D
2019,0.001550209
2021,0.001558833
2023,0.001558333
2025,0.001551209
2027,0.00156025
2029,0.001567042
2031,0.001575167
2033,0.001573541
2035,0.001567666
2037,0.001577916
2039,0.001589792
2041,0.001581959
2043,0.001596875
2045,0.001584208
2047,0.001586542
2049,0.001628375
2051,0.0016105
2053,0.001602083
2055,0.001613375
2057,0.001606959
2059,0.00160475
2061,0.001617417
2063,0.001617625
2065,0.001632083
2067,0.001686
2069,0.00162075
2071,0.001631958
2073,0.00164
2075,0.00163275
2077,0.001638917
2079,0.001642209
2081,0.00164675
2083,0.001645958
2085,0.001642875
2087,0.001655208
2089,0.001657792
2091,0.001661208
2093,0.001662583
2095,0.001660959
2097,0.00166375
2099,0.001665292
2101,0.001676208
2103,0.001681917
2105,0.001687167
2107,0.001711542
2109,0.001725167
2111,0.001727833
2113,0.001742167
2115,0.001740583
2117,0.001745666
2119,0.001754209
2121,0.001753791
2123,0.001711167
2125,0.00173625
2127,0.001725958
2129,0.001725084
2131,0.001738542
2133,0.001719541
2135,0.001685958
2137,0.001690542
2139,0.001695084
2141,0.001701292
2143,0.001752
2145,0.001715875
2147,0.001704791
2149,0.001746792
2151,0.001745625
2153,0.001704917
2155,0.001702917
2157,0.001713667
2159,0.0017495
2161,0.001715708
2163,0.001738083
2165,0.001777833
2167,0.001731791
2169,0.00178975
2171,0.001769167
2173,0.001779292
2175,0.001789292
2177,0.001830458
2179,0.001842333
2181,0.001855542
2183,0.001853292
2185,0.001866917
2187,0.001842459
2189,0.001866875
2191,0.001861083
2193,0.001869458
2195,0.001823166
2197,0.001798208
2199,0.001816458
2201,0.001840333
2203,0.001813708
2205,0.001868833
2207,0.001879375
2209,0.0018435
2211,0.001845459
2213,0.001873375
2215,0.001849
2217,0.001848666
2219,0.001885292
2221,0.00190975
2223,0.001919833
2225,0.001942
2227,0.001928
2229,0.0019145
2231,0.001909916
2233,0.001942875
2235,0.001945709
2237,0.00194475
2239,0.001922125
2241,0.001915834
2243,0.001963541
2245,0.0019465
2247,0.001934041
2249,0.001957959
2251,0.001906917
2253,0.001912292
2255,0.001913417
2257,0.001963458
2259,0.001930125
2261,0.001930625
2263,0.001940083
2265,0.001936375
2267,0.001947458
2269,0.001944584
2271,0.001948959
2273,0.001967958
2275,0.001955167
2277,0.001956917
2279,0.0019585
2281,0.00196325
2283,0.001958208
2285,0.00197025
2287,0.001973834
2289,0.001978709
2291,0.001994792
2293,0.001980791
2295,0.001986167
2297,0.001995
2299,0.001991541
2301,0.001995125
2303,0.001995292
2305,0.002003167
2307,0.00201
2309,0.002010834
2311,0.002015834
2313,0.002029375
2315,0.002022541
2317,0.0020875
2319,0.002083875
2321,0.002090416
2323,0.002090833
2325,0.002092709
2327,0.002103625
2329,0.002102583
2331,0.002105542
2333,0.002111041
2335,0.00212525
2337,0.002113833
2339,0.002166083
2341,0.002127375
2343,0.002118042
2345,0.002135541
2347,0.002201
2349,0.002206958
2351,0.002135375
2353,0.002141625
2355,0.002163708
2357,0.002155667
2359,0.002178167
2361,0.002163166
2363,0.002100625
2365,0.002106
2367,0.002109167
2369,0.002232875
2371,0.0021815
2373,0.00215825
2375,0.002100292
2377,0.002112834
2379,0.002111709
2381,0.002120875
2383,0.002107208
2385,0.002199458
2387,0.002147458
2389,0.002157625
2391,0.002105666
2393,0.002151583
2395,0.002188083
2397,0.002180833
2399,0.002185375
2401,0.002168875
2403,0.002161959
2405,0.002187792
2407,0.00225725
2409,0.002179375
2411,0.002192125
2413,0.002223459
2415,0.002188292
2417,0.002215375
2419,0.002287916
2421,0.002202916
2423,0.002203958
2425,0.002213458
2427,0.002215875
2429,0.002273292
2431,0.00220175
2433,0.002225708
2435,0.002264459
2437,0.002295875
2439,0.002296583
2441,0.002933625
2443,0.002820292
2445,0.002324041
2447,0.002325
2449,0.002318875
2451,0.0022925
2453,0.002278417
2455,0.002289667
2457,0.002205667
2459,0.002208625
2461,0.002230708
2463,0.002215417
2465,0.002216208
2467,0.00222375
2469,0.002256375
2471,0.002292417
2473,0.0022975
2475,0.002301042
2477,0.002307167
2479,0.002306625
2481,0.002314583
2483,0.002308875
2485,0.002341417
2487,0.002392875
2489,0.002398416
2491,0.002401
2493,0.002402667
2495,0.002409958
2497,0.002387375
2499,0.002363959
2501,0.002343542
2503,0.002349458
2505,0.002360625
2507,0.002361833
2509,0.002366667
2511,0.002360417
2513,0.002361958
2515,0.0023725
2517,0.00237725
2519,0.002383625
2521,0.002385084
2523,0.002388334
2525,0.002392334
2527,0.002398041
2529,0.00238975
2531,0.002384459
2533,0.002407584
2535,0.002412292
2537,0.002448625
2539,0.002469417
2541,0.002436792
2543,0.002435917
2545,0.002427167
2547,0.002456292
2549,0.002459
2551,0.002485583
2553,0.002442041
2555,0.002454917
2557,0.002452458
2559,0.002483958
2561,0.002520833
2563,0.002463917
2565,0.002467417
2567,0.002490834
2569,0.002415041
2571,0.002561709
2573,0.002400584
2575,0.002405959
2577,0.002412583
2579,0.00244025
2581,0.002643625
2583,0.002576375
2585,0.002535709
2587,0.002526625
2589,0.002510667
2591,0.002557333
2593,0.002569833
2595,0.002523875
2597,0.002542708
2599,0.002518041
2601,0.00259775
2603,0.002570292
2605,0.002556583
2607,0.002581583
2609,0.002556459
2611,0.002556041
2613,0.002654417
2615,0.002560875
2617,0.00255925
2619,0.002583333
2621,0.002517792
2623,0.002504666
2625,0.002511334
2627,0.00251375
2629,0.002511458
2631,0.002533
2633,0.002525708
