Sorter0,,
ArrayLength,Runtime F,Runtime C
2485,0.003458125,
2487,0.003567625,
2489,0.003629,
2491,0.003685791,
2493,0.003694709,
2495,0.003567917,
2497,0.003570625,
2499,0.003633375,
2501,0.003703542,
2503,0.0034925,
2505,0.003514708,
2507,0.003713666,
2509,0.003712667,
2511,0.003632417,
2513,0.003728083,
2515,0.003671167,
2517,0.00366025,
2519,0.003769167,
2521,0.00358125,
2523,0.003756416,
2525,0.003739459,
2527,0.003647792,
2529,0.003804916,
2531,0.003881208,
2533,0.003781375,
2535,0.003704916,
2537,0.003806833,
2539,0.007465625,
2541,0.003755625,
2543,0.003682542,
2545,0.003847833,
2547,0.003746917,
2549,0.003717958,
2551,0.003833,
2553,0.003775583,
2555,0.003830875,
2557,0.003860792,
2559,0.003689916,
2561,0.003808875,
2563,0.003844542,
2565,0.0038565,
2567,0.003776291,
2569,0.004037292,
2571,0.004012083,
2573,0.0039335,
2575,0.003887042,
2577,0.003955583,
2579,0.00389575,
2581,0.003908625,
2583,0.003995541,
2585,0.004033959,
2587,0.00396225,
2589,0.00409175,
2591,0.00389625,
2593,0.003873125,
2595,0.003953583,
2597,0.007705625,
2599,0.004052791,
2601,0.003850708,
2603,0.004026958,
2605,0.003957416,
2607,0.003909417,
2609,0.003981,
2611,0.003992833,
2613,0.004032667,
2615,0.003993667,
2617,0.00404575,
2619,0.00404475,
2621,0.004001959,
2623,0.004172666,
2625,0.00400925,
2627,0.004009125,
2629,0.00401425,
2631,0.004081,
2633,0.004009375,
2635,0.004188334,
2637,0.003986583,
2639,0.004038875,
2641,0.00408575,
2643,0.004064458,
2645,0.004147083,
2647,0.004025958,
2649,0.00416075,
2651,0.004126292,
2653,0.005630958,
2655,0.004168667,
2657,0.004180625,
2659,0.004118625,
2661,0.004167917,
2663,0.004164833,
